Column1,city_id,year,quarter,literacy_rate,smartphone_penetration,internet_penetration,edition_id
98,C005,2019,Q3,84.82,70.88,10,ED1005
99,C005,2019,Q4,85.01,69.97,10,ED1005
100,C005,2020,Q1,84.7,71.11,10,ED1005
101,C005,2020,Q2,85.08,67.49,10,ED1005
102,C005,2020,Q3,85.26,71.49,10,ED1005
103,C005,2020,Q4,84.73,68.6,10,ED1005
104,C005,2021,Q1,84.71,69.98,10,ED1005
105,C005,2021,Q2,85.09,69.22,10,ED1005
106,C005,2021,Q3,85.12,69.05,10,ED1005
107,C005,2021,Q4,84.7,71.5,10,ED1005
108,C005,2022,Q1,84.72,69.87,10,ED1005
109,C005,2022,Q2,84.74,70.69,10,ED1005
110,C005,2022,Q3,84.53,70.29,10,ED1005
111,C005,2022,Q4,84.62,70.82,10,ED1005
112,C005,2023,Q1,84.6,70.42,10,ED1005
113,C005,2023,Q2,84.65,69.06,10,ED1005
114,C005,2023,Q3,84.79,71.34,10,ED1005
115,C005,2023,Q4,84.85,69.85,10,ED1005
116,C005,2024,Q1,85.11,68.78,10,ED1005
117,C005,2024,Q2,84.6,69.91,10,ED1005
118,C005,2024,Q3,85,71.84,10,ED1005
119,C005,2024,Q4,84.76,71.19,10,ED1005
120,C006,2019,Q1,81.85,47.99,74.58,ED1006
121,C006,2019,Q2,81.99,47.99,75.05,ED1006
122,C006,2019,Q3,81.64,48.02,74.45,ED1006
123,C006,2019,Q4,81.94,50.42,75.01,ED1006
124,C006,2020,Q1,81.89,48.72,74.58,ED1006
125,C006,2020,Q2,81.96,48.77,72.54,ED1006
126,C006,2020,Q3,81.92,49.37,73.58,ED1006
127,C006,2020,Q4,82.35,48.58,74.38,ED1006
128,C006,2021,Q1,81.73,48.08,73.31,ED1006
129,C006,2021,Q2,81.75,48.14,75.12,ED1006
130,C006,2021,Q3,81.74,48.27,76.05,ED1006
131,C006,2021,Q4,81.75,48.3,75.74,ED1006
132,C006,2022,Q1,81.73,49.07,74.31,ED1006
133,C006,2022,Q2,82.1,48.39,76.01,ED1006
134,C006,2022,Q3,82.14,49.07,74.67,ED1006
135,C006,2022,Q4,81.75,48.26,74.18,ED1006
136,C006,2023,Q1,81.69,48.42,73.91,ED1006
137,C006,2023,Q2,81.95,46.34,74.22,ED1006
138,C006,2023,Q3,81.75,49.26,74.13,ED1006
139,C006,2023,Q4,81.99,48.69,74.69,ED1006
140,C006,2024,Q1,81.9,49.34,74.68,ED1006
141,C006,2024,Q2,81.56,45.44,74.52,ED1006
142,C006,2024,Q3,82.17,50.43,74.96,ED1006
143,C006,2024,Q4,82.22,48.2,75.71,ED1006
144,C007,2019,Q1,66.27,77.71,63.9,ED1007
145,C007,2019,Q2,66.31,75.56,61.47,ED1007
146,C007,2019,Q3,66.45,77.21,60.4,ED1007
147,C007,2019,Q4,66.46,75.55,63.88,ED1007
148,C007,2020,Q1,66.52,75.98,61.58,ED1007
149,C007,2020,Q2,66.79,78.51,62.73,ED1007
150,C007,2020,Q3,66.35,76.41,61.78,ED1007
151,C007,2020,Q4,66.23,76.82,61.15,ED1007
152,C007,2021,Q1,66.11,77.47,63.49,ED1007
153,C007,2021,Q2,66.24,77.1,63.71,ED1007
154,C007,2021,Q3,66.38,76.75,62.37,ED1007
155,C007,2021,Q4,66.75,76.96,60.36,ED1007
156,C007,2022,Q1,66.29,79,62.4,ED1007
157,C007,2022,Q2,66.43,76.54,63.34,ED1007
158,C007,2022,Q3,66.39,76.8,61.47,ED1007
159,C007,2022,Q4,66.63,77.65,63.13,ED1007
160,C007,2023,Q1,66.9,77.71,62.93,ED1007
161,C007,2023,Q2,66.28,77.79,63.53,ED1007
162,C007,2023,Q3,66.29,77.24,63.07,ED1007
163,C007,2023,Q4,66.6,75.46,61.98,ED1007
164,C007,2024,Q1,66.53,78.23,64.15,ED1007
165,C007,2024,Q2,66.76,75.45,62.79,ED1007
166,C007,2024,Q3,66.51,76.9,62.92,ED1007
167,C007,2024,Q4,66.32,75.85,62.02,ED1007
168,C008,2019,Q1,71.34,78.74,74.5,ED1008
169,C008,2019,Q2,71.44,79.13,74.06,ED1008
170,C008,2019,Q3,71.38,79.12,74.77,ED1008
171,C008,2019,Q4,71.32,79.22,76.65,ED1008
172,C008,2020,Q1,71.43,80.41,73.57,ED1008
173,C008,2020,Q2,71.45,79.25,73.33,ED1008
174,C008,2020,Q3,71.5,78.56,76.41,ED1008
175,C008,2020,Q4,71.35,79.76,74.73,ED1008
176,C008,2021,Q1,71.19,79.99,74.27,ED1008
177,C008,2021,Q2,71.25,77.57,75.98,ED1008
178,C008,2021,Q3,71.46,79.4,74.33,ED1008
179,C008,2021,Q4,71.06,79.5,76.77,ED1008
180,C008,2022,Q1,71.29,78.5,75.62,ED1008
181,C008,2022,Q2,71.14,80.18,74.45,ED1008
182,C008,2022,Q3,71.23,78.65,77.1,ED1008
183,C008,2022,Q4,71.48,78.93,74.33,ED1008
184,C008,2023,Q1,71.26,78.63,75.68,ED1008
185,C008,2023,Q2,71.23,78.82,75.24,ED1008
186,C008,2023,Q3,70.95,77.7,76.24,ED1008
187,C008,2023,Q4,71.37,77.36,76.5,ED1008
188,C008,2024,Q1,71.35,80.39,74.97,ED1008
189,C008,2024,Q2,71.65,77.95,74.19,ED1008
190,C008,2024,Q3,71.16,77.81,75.4,ED1008
191,C008,2024,Q4,71.26,76.65,74.26,ED1008
192,C009,2019,Q1,75.15,67.85,76.09,ED1009
193,C009,2019,Q2,75.42,67.17,74.22,ED1009
194,C009,2019,Q3,75.08,70.13,73.71,ED1009
195,C009,2019,Q4,75.16,69.5,74.26,ED1009
196,C009,2020,Q1,75.22,67.8,72.73,ED1009
197,C009,2020,Q2,75.14,70.74,73.11,ED1009
198,C009,2020,Q3,75.01,69.47,75.28,ED1009
199,C009,2020,Q4,75.14,68.17,73.42,ED1009
200,C009,2021,Q1,75.31,65.99,73.03,ED1009
201,C009,2021,Q2,74.89,70.78,74.62,ED1009
202,C009,2021,Q3,75.13,67.1,75.27,ED1009
203,C009,2021,Q4,74.96,66.84,74.8,ED1009
204,C009,2022,Q1,75.34,69.51,75.08,ED1009
205,C009,2022,Q2,74.8,70.93,73.32,ED1009
206,C009,2022,Q3,74.99,69.87,72.66,ED1009
207,C009,2022,Q4,75.18,69.05,75.58,ED1009
208,C009,2023,Q1,75.41,69.08,73.76,ED1009
209,C009,2023,Q2,75.09,69.34,73.83,ED1009
210,C009,2023,Q3,74.99,69.25,75.41,ED1009
211,C009,2023,Q4,75.48,68.77,74.64,ED1009
212,C009,2024,Q1,74.81,68.59,74.54,ED1009
213,C009,2024,Q2,74.66,68.43,76.25,ED1009
214,C009,2024,Q3,75.19,67.74,73.44,ED1009
215,C009,2024,Q4,75,68.21,75.01,ED1009
216,C010,2019,Q1,70.5,75.62,74.61,ED1010
217,C010,2019,Q2,70.84,77.21,74.82,ED1010
218,C010,2019,Q3,70.75,76.32,76.08,ED1010
219,C010,2019,Q4,70.59,76.21,75.06,ED1010
220,C010,2020,Q1,70.44,77.49,75.09,ED1010
221,C010,2020,Q2,70.87,78.7,75.62,ED1010
222,C010,2020,Q3,70.83,78.23,74.19,ED1010
223,C010,2020,Q4,70.68,75.74,73.71,ED1010
224,C010,2021,Q1,71.07,76.32,73.51,ED1010
225,C010,2021,Q2,70.49,78.25,72.58,ED1010
226,C010,2021,Q3,70.39,76.33,76.61,ED1010
227,C010,2021,Q4,70.56,77.09,73.45,ED1010
228,C010,2022,Q1,70.69,77.86,74.33,ED1010
229,C010,2022,Q2,70.75,76.34,74.27,ED1010
230,C010,2022,Q3,70.65,77.42,74.86,ED1010
231,C010,2022,Q4,70.77,75.98,75.37,ED1010
232,C010,2023,Q1,70.45,76.71,75.41,ED1010
233,C010,2023,Q2,70.99,77.63,73.97,ED1010
234,C010,2023,Q3,70.68,75.72,74.38,ED1010
235,C010,2023,Q4,70.92,77.75,74.83,ED1010
236,C010,2024,Q1,70.77,77.29,74.3,ED1010
237,C010,2024,Q2,70.79,77.86,76.16,ED1010
238,C010,2024,Q3,70.81,77.53,75.04,ED1010
239,C010,2024,Q4,70.79,78.67,75.28,ED1010
